timestamp_ms,q_cmd_rad,q_actual_rad,q_error_rad,vel_rad_s,tau_feedback_Nm,contact_tau,contact_pos,label
5886,4.36366,4.29484,0.06882,-0.00733,0.31990,1,1,hard
5891,4.36366,4.29484,0.06882,-0.00733,0.31502,1,1,hard
5896,4.36366,4.29522,0.06844,0.00733,0.31013,1,1,hard
5901,4.36366,4.29522,0.06844,0.00733,0.30525,1,1,hard
5906,4.36366,4.29522,0.06844,0.02198,0.30037,1,1,hard
5911,4.36366,4.29560,0.06806,0.03663,0.29060,1,1,hard
5916,4.36366,4.29599,0.06767,0.08059,0.27106,1,1,hard
5921,4.36366,4.29713,0.06653,0.15385,0.23199,0,1,hard
5926,4.36366,4.29789,0.06577,0.16850,0.19780,0,1,hard
5931,4.36366,4.29827,0.06538,0.00733,0.20757,0,1,hard
5936,4.36366,4.29827,0.06538,-0.00733,0.24176,0,1,hard
5941,4.36366,4.29827,0.06538,0.03663,0.25641,0,1,hard
5946,4.36366,4.29866,0.06500,0.03663,0.25641,0,1,hard
5951,4.36366,4.29866,0.06500,0.02198,0.26618,0,1,hard
5956,4.36366,4.29866,0.06500,0.02198,0.27106,0,1,hard
5961,4.36366,4.29904,0.06462,0.03663,0.27106,0,1,hard
5967,4.36366,4.29942,0.06424,0.03663,0.26130,0,1,hard
5972,4.36366,4.29980,0.06386,0.08059,0.24176,0,1,hard
5977,4.36366,4.30056,0.06310,0.15385,0.20757,0,1,hard
5982,4.36366,4.30209,0.06157,0.22711,0.15385,0,1,hard
5987,4.36366,4.30247,0.06119,0.05128,0.15385,0,1,hard
5992,4.36366,4.30247,0.06119,0.00733,0.18804,0,1,hard
5997,4.36366,4.30285,0.06081,0.08059,0.20269,0,1,hard
6002,4.36366,4.30362,0.06004,0.13920,0.18315,0,1,hard
6007,4.36366,4.30514,0.05852,0.27106,0.13431,0,1,hard
6012,4.36366,4.30629,0.05737,0.18315,0.10012,0,1,hard
6017,4.36366,4.30667,0.05699,0.00733,0.12943,0,1,hard
6022,4.36366,4.30667,0.05699,0.05128,0.16361,0,1,hard
6027,4.36366,4.30743,0.05623,0.10989,0.16850,0,1,hard
6032,4.36366,4.30857,0.05509,0.19780,0.12454,0,1,hard
6037,4.36366,4.30972,0.05394,0.24176,0.09035,0,1,hard
6042,4.36366,4.31010,0.05356,0.03663,0.10012,0,1,hard
6047,4.36366,4.31010,0.05356,0.00733,0.14408,0,1,hard
6052,4.36366,4.31048,0.05318,0.08059,0.16361,0,1,hard
6058,4.36366,4.31086,0.05280,0.10989,0.15873,0,1,hard
6063,4.36366,4.31201,0.05165,0.16850,0.12454,0,1,hard
6068,4.36366,4.31315,0.05051,0.22711,0.09035,0,1,hard
6073,4.36366,4.31353,0.05013,0.00733,0.10501,0,1,hard
6078,4.36366,4.31353,0.05013,0.00733,0.13919,0,1,hard
6083,4.36366,4.31353,0.05013,0.06594,0.16361,0,1,hard
6088,4.36366,4.31392,0.04974,0.06594,0.15873,0,0,hard
6093,3.36366,4.31430,-0.95064,0.08059,0.15385,0,1,hard
6098,3.36366,4.31506,-0.95140,0.12454,0.13919,0,1,hard
6103,3.36366,4.31620,-0.95254,0.18315,0.10989,0,1,hard
6108,3.36366,4.31697,-0.95331,0.13920,0.09035,0,1,hard
6113,3.36366,4.31697,-0.95331,0.00733,0.11477,0,1,hard
6118,3.36366,4.31697,-0.95331,0.00733,0.14408,0,1,hard
6123,3.36366,4.31086,-0.94720,-2.63004,-0.70085,0,1,hard
6128,3.36366,4.29141,-0.92775,-4.49084,-0.60317,0,1,hard
6133,3.36366,4.26928,-0.90562,-4.50550,-0.29060,0,1,hard
6138,3.36366,4.24792,-0.88426,-4.25641,-0.14896,0,1,hard
6143,3.36366,4.22656,-0.86290,-4.13919,-0.12943,0,1,hard
6149,3.36366,4.20634,-0.84268,-4.05128,-0.12454,0,1,hard
6154,3.36366,4.18612,-0.82246,-3.94872,-0.12454,0,1,hard
6159,3.36366,4.16629,-0.80263,-3.87546,-0.11966,0,1,hard
6164,3.36366,4.14721,-0.78355,-3.74359,-0.11966,0,1,hard
6169,3.36366,4.12814,-0.76448,-3.71428,-0.12943,0,1,hard
6174,3.36366,4.11021,-0.74655,-3.53846,-0.10989,0,1,hard
6179,3.36366,4.09228,-0.72862,-3.53846,-0.12454,0,1,hard
6184,3.36366,4.07473,-0.71107,-3.40659,-0.11477,0,1,hard
6189,3.36366,4.05795,-0.69429,-3.28938,-0.11477,0,1,hard
